product_category_name,customer_state,total_orders,avg_cost_to_serve,avg_cost_pct,problem_rate
eletronicos,MA,12,30.113333333333333,1.8576071802879026,0.25
eletronicos,RO,6,37.083333333333336,1.8427838750298602,0.0
eletronicos,RN,14,35.806428571428576,1.7543820440046916,0.07142857142857142
sinalizacao_e_seguranca,PB,6,299.16,1.7094857142857147,0.0
eletronicos,AL,14,29.15142857142857,1.5971461935805027,0.21428571428571427
dvds_blu_ray,PR,5,34.11,1.4669119430743107,0.0
eletronicos,TO,7,30.437142857142856,1.4659355666578926,0.14285714285714285
eletronicos,PI,22,33.074090909090906,1.440987949897436,0.18181818181818182
fashion_underwear_e_moda_praia,SC,8,17.0925,1.388170707770922,0.25
telefonia,RO,19,33.77684210526316,1.3858658130815569,0.05263157894736842
fashion_underwear_e_moda_praia,MG,18,15.328333333333335,1.359319442959634,0.0
artigos_de_natal,BA,10,30.403999999999996,1.3328623897021574,0.0
eletronicos,PB,12,38.51083333333333,1.319993642780581,0.16666666666666666
sinalizacao_e_seguranca,BA,6,23.83,1.2582494496996672,0.0
casa_conforto_2,GO,5,15.943999999999999,1.235968992248062,0.4
livros_interesse_geral,PA,5,17.784,1.1546378706205374,0.0
eletronicos,PA,28,33.93714285714286,1.1347705071610152,0.03571428571428571
casa_construcao,MA,5,59.010000000000005,1.0181105011655471,0.0
artigos_de_natal,DF,8,22.64,1.009953970655887,0.0
fashion_bolsas_e_acessorios,TO,8,33.335,0.9848072294402859,0.0
automotivo,RO,10,57.499,0.980529528783552,0.0
eletronicos,PE,40,22.7505,0.9690726367424739,0.1
telefonia,TO,21,29.873333333333335,0.9634474326546174,0.14285714285714285
eletronicos,ES,76,20.893947368421053,0.9500877227685279,0.09210526315789473
eletronicos,SE,19,31.455263157894734,0.9494386363495034,0.15789473684210525
fashion_underwear_e_moda_praia,GO,5,16.794,0.947706312386155,0.0
utilidades_domesticas,TO,14,34.62428571428571,0.9464914052212681,0.0
eletronicos,GO,33,17.508484848484848,0.9448229370685658,0.06060606060606061
flores,MG,5,17.192,0.9328384366276439,0.0
eletronicos,CE,46,27.331521739130434,0.9275191929908427,0.13043478260869565
telefonia,PI,38,29.2528947368421,0.926822917691202,0.10526315789473684
informatica_acessorios,AC,9,32.23,0.9158031164038961,0.0
cine_foto,RS,12,18.21166666666667,0.9009542000846174,0.0
telefonia,AM,15,26.243999999999996,0.8929891845253172,0.13333333333333333
telefonia,PB,27,30.324074074074073,0.890341102353648,0.1111111111111111
alimentos_bebidas,RS,6,24.02333333333333,0.8877622717444682,0.0
artigos_de_natal,RJ,15,20.02,0.8846657271038253,0.26666666666666666
informatica_acessorios,RR,5,42.034,0.8841217918441707,0.0
artigos_de_natal,PR,6,16.616666666666667,0.8819537064477396,0.16666666666666666
eletronicos,BA,101,22.286237623762375,0.8801346001721956,0.1188118811881188
telefonia,MA,65,27.84376923076923,0.8756124000309765,0.15384615384615385
bebidas,BA,11,19.524545454545457,0.8729905876034003,0.0
agro_industria_e_comercio,CE,6,28.548333333333332,0.8670910927572467,0.0
eletronicos,SC,119,17.70285714285714,0.8554470052787141,0.07563025210084033
eletronicos,MT,24,19.799166666666665,0.8488986731924327,0.16666666666666666
ferramentas_jardim,MA,24,41.28541666666667,0.8478275586107027,0.2916666666666667
eletrodomesticos,PA,10,28.409999999999997,0.8266838360125142,0.0
moveis_quarto,PR,9,10.10888888888889,0.7991052336579547,0.0
artigos_de_natal,MG,19,20.512631578947367,0.7953963565857776,0.0
dvds_blu_ray,SP,23,20.270434782608696,0.7946734532384803,0.13043478260869565
eletrodomesticos,PE,5,30.637999999999998,0.7883658106289955,0.0
fashion_bolsas_e_acessorios,RO,9,34.306666666666665,0.7871649505567825,0.0
construcao_ferramentas_ferramentas,PR,8,18.725,0.7857952567645548,0.0
telefonia,PA,77,26.35038961038961,0.7783449704711198,0.12987012987012986
dvds_blu_ray,RJ,13,18.64076923076923,0.7766363957223752,0.0
